,Date,Measure,Distributor,MeasurementType
549,2015-07-04,5.6,AusNet,MinTemp
550,2015-07-05,4.3,AusNet,MinTemp
551,2015-07-06,4.5,AusNet,MinTemp
552,2015-07-07,7.3,AusNet,MinTemp
553,2015-07-08,3.7,AusNet,MinTemp
554,2015-07-09,0.3,AusNet,MinTemp
555,2015-07-10,2.0,AusNet,MinTemp
556,2015-07-11,6.4,AusNet,MinTemp
557,2015-07-12,6.0,AusNet,MinTemp
558,2015-07-13,6.7,AusNet,MinTemp
559,2015-07-14,6.5,AusNet,MinTemp
560,2015-07-15,5.0,AusNet,MinTemp
561,2015-07-16,4.9,AusNet,MinTemp
